1.494873623453433E+08	1.147657453813048E+07	-8.257092236322351E+02
1.492269086403041E+08	1.403027301602092E+07	-9.366255809273571E+02
1.489227766291309E+08	1.658000801958595E+07	-1.025387276599184E+03
1.485749666455505E+08	1.912507514418139E+07	-1.089673543607816E+03
1.481834821666158E+08	2.166475249729129E+07	-1.129009558959864E+03
1.477483362220871E+08	2.419830013008526E+07	-1.144597938746214E+03
1.472695567839691E+08	2.672496168246329E+07	-1.139000870211050E+03
1.467471906263226E+08	2.924396724478654E+07	-1.115775489479303E+03
1.461813057370206E+08	3.175453659377073E+07	-1.079130545713007E+03
1.455719926384207E+08	3.425588230761430E+07	-1.033633109174669E+03
1.449193649920153E+08	3.674721257514761E+07	-9.839673706199974E+02
1.442235597566192E+08	3.922773369630606E+07	-9.347360703404993E+02
1.434847370462951E+08	4.169665233494912E+07	-8.902942141313106E+02
1.427030797470861E+08	4.415317757504766E+07	-8.546087118089199E+02
1.418787929149128E+08	4.659652279392310E+07	-8.311419992372394E+02
1.410121029812563E+08	4.902590733570826E+07	-8.227600661665201E+02
1.401032568176250E+08	5.144055796279848E+07	-8.316648469194770E+02
1.391525207316164E+08	5.383971008545636E+07	-8.593482610099018E+02
1.381601794692437E+08	5.622260881062064E+07	-9.065617378242314E+02
1.371265352716471E+08	5.858850989496323E+07	-9.732924154251814E+02
1.360519069792927E+08	6.093668071837877E+07	-1.058736697003245E+03
1.349366290982665E+08	6.326640139798412E+07	-1.161264471616596E+03
1.337810506498964E+08	6.557696612438133E+07	-1.278373951580375E+03
1.325855335332104E+08	6.786768470248130E+07	-1.406648649275303E+03
1.313504500762362E+08	7.013788409842460E+07	-1.541744752310216E+03
1.300761795076112E+08	7.238690953070372E+07	-1.678456477161497E+03
1.287631033436862E+08	7.461412436063498E+07	-1.810919988561422E+03
1.274116002204470E+08	7.681890791410047E+07	-1.933006233364344E+03
1.260220413866650E+08	7.900065067349753E+07	-2.038902016036212E+03
1.245947885056694E+08	8.115874716724771E+07	-2.123790046539158E+03
1.231301950618822E+08	8.329258805872802E+07	-2.184456477388740E+03
1.216286114259099E+08	8.540155362892625E+07	-2.219645224235952E+03
1.200903921682111E+08	8.748501042323780E+07	-2.230068366222084E+03
1.185159035036437E+08	8.954231150411706E+07	-2.218116924189031E+03
1.169055291595186E+08	9.157279943546261E+07	-2.187407929413021E+03
1.152596739867038E+08	9.357581055957156E+07	-2.142310857623816E+03
1.135787655387389E+08	9.555067933637740E+07	-2.087545256823301E+03
1.118632542674251E+08	9.749674206658216E+07	-2.027880457513034E+03
1.101136129888202E+08	9.941333982062852E+07	-1.967927322156727E+03
1.083303360803939E+08	1.012998206884135E+08	-1.911995455659926E+03
1.065139386502319E+08	1.031555415681535E+08	-1.863989194333553E+03
1.046649557513282E+08	1.049798697003630E+08	-1.827323052391410E+03
1.027839416149339E+08	1.067721840888855E+08	-1.804846245281398E+03
1.008714688375070E+08	1.085318768764414E+08	-1.798773419871926E+03
9.892812745964530E+07	1.102583546808984E+08	-1.810623498544097E+03
9.695452390413579E+07	1.119510398632483E+08	-1.841170255832374E+03
9.495127977461188E+07	1.136093716932391E+08	-1.890407313987613E+03
9.291903053801283E+07	1.152328073988600E+08	-1.957527780190110E+03
9.085842410968246E+07	1.168208231179535E+08	-2.040916371777654E+03
8.877011932455896E+07	1.183729147948495E+08	-2.138151328310370E+03
8.665478421686985E+07	1.198885990605243E+08	-2.246016181416810E+03
8.451309396113983E+07	1.213674140811323E+08	-2.360528471596539E+03
8.234572828077784E+07	1.228089202412813E+08	-2.477003674536943E+03
8.015336815880395E+07	1.242127003450618E+08	-2.590185808323324E+03
7.793669185841946E+07	1.255783588093960E+08	-2.694485419563949E+03
7.569637063504006E+07	1.269055192057313E+08	-2.784359551213682E+03
7.343306505101426E+07	1.281938196735933E+08	-2.854833333402872E+03
7.114742323532340E+07	1.294429063554587E+08	-2.902095939263701E+03
6.884008232765201E+07	1.306524259904287E+08	-2.924030301362276E+03
6.651167342897516E+07	1.318220196140881E+08	-2.920510151132941E+03
6.416282898082403E+07	1.329513192437418E+08	-2.893360958680511E+03
6.179419050532303E+07	1.340399483222302E+08	-2.846009044304490E+03
5.940641473533418E+07	1.350875252412993E+08	-2.782953323021531E+03
5.700017715696222E+07	1.360936683933872E+08	-2.709221917085350E+03
5.457617309837915E+07	1.370580012408136E+08	-2.629927076995373E+03
5.213511713511152E+07	1.379801564939597E+08	-2.549958366833627E+03
4.967774166978655E+07	1.388597791399579E+08	-2.473799380175769E+03
4.720479532135989E+07	1.396965284806327E+08	-2.405429613754153E+03
4.471704146805778E+07	1.404900795018114E+08	-2.348272234007716E+03
4.221525705439831E+07	1.412401238960932E+08	-2.305158101402223E+03
3.970023162348206E+07	1.419463709870314E+08	-2.278288409844041E+03
3.717276645749054E+07	1.426085487073735E+08	-2.269189041212201E+03
3.463367368237022E+07	1.432264046912868E+08	-2.278658146210015E+03
3.208377520309874E+07	1.437997074610066E+08	-2.306714255817235E+03
2.952390137363563E+07	1.443282476300391E+08	-2.352555184051394E+03
2.695488935881028E+07	1.448118390153084E+08	-2.414538024052978E+03
2.437758119758096E+07	1.452503195522252E+08	-2.490188157089055E+03
2.179282161034553E+07	1.456435519323236E+08	-2.576241740129888E+03
1.920145559569716E+07	1.459914239138346E+08	-2.668723603226244E+03
1.660432583749608E+07	1.462938482655428E+08	-2.763062737561762E+03
1.400226991401411E+07	1.465507622715255E+08	-2.854251297831535E+03
1.139611730713223E+07	1.467621266439227E+08	-2.937058871991932E+03
